Symbol,List_Year,Is_VIE?
WBAI,2013,1
WUBA,2013,0
AMCO,2010,0
ALN,2009,1
ATHM,2013,0
BSTI,2017,1
CMCM,2014,1
CO,2009,1
CHL,1997,0
CPHI,2009,0
XRF,2017,0
CHU,2000,0
CEO,2001,0
FEDU,2017,0
GHG,2018,1
JT,2017,0
JMEI,2014,1
JP,2015,0
LEJU,2014,0
ONE,2018,1
ONP,2009,1
PPDF,2017,0
RYB,2017,0
SOGO,2017,0
STG,2018,1
TKAT,2017,1
YUMC,2016,1
ATV,2007,1
BABA,2014,1
ACH,2001,0
BITA,2010,1
BEDU,2017,1
DL,2008,1
CEA,1997,0
CGA,2009,1
LFC,2003,0
BORN,2010,0
COE,2016,0
SNP,2000,0
ZNH,1997,0
CHA,2002,0
ZX,2011,0
CCM,2009,0
DQ,2010,1
EHIC,2014,1
SFUN,2010,1
GSH,1996,0
HMI,2018,0
HNP,1994,0
JKS,2010,0
LITB,2013,0
LKM,2011,1
NTP,1998,0
EDU,2006,1
NOAH,2010,1
PTR,2000,0
FENG,2011,0
QD,2017,0
SOL,2008,0
RENN,2011,1
SMI,2004,0
SHI,1993,0
TAL,2010,1
VIPS,2012,1
XIN,2007,1
YGE,2007,0
YRD,2015,1
ZTO,2016,1
VNET,2011,1
JOBS,2004,1
AGMH,2018,0
AMCN,2007,1
ATAI,2008,1
BIDU,2005,1
BZUN,2015,1
BILI,2018,1
BSPM,2010,1
BCAC,2017,1
BRQS,2015,1
CSIQ,2006,1
CBAK,2005,0
CYOU,2009,1
CADC,2008,1
CALI,2009,0
CAAS,2003,0
CBPO,2008,0
CCCL,2008,0
CCCR,2013,1
CCRC,2015,1
JRJC,2004,1
HGSH,2008,1
CNIT,2006,1
CIFS,2017,0
CJJD,2015,1
HTHT,2010,1
CREG,2004,0
CXDC,2007,0
CCIH,2010,1
CNET,2009,0
CMSS,2017,0
CTRP,2003,1
DELT,2015,0
DOGZ,2017,0
LYL,2017,0
EVK,2008,0
FANH,2007,0
FAMI,2018,0
FORK,2015,1
FTFT,2004,0
FFHL,2006,0
GDS,2016,1
DNJR,2018,0
GSUM,2016,1
GURE,2006,0
HLG,2015,0
HEBT,2016,0
HX,2017,0
HPJ,2008,0
HOLI,2005,1
KANG,2014,1
IQ,2018,1
JASO,2007,1
JD,2014,1
JMU,2015,1
KNDI,2007,0
KBSF,2013,0
KGJI,2000,1
KONE,2010,0
LX,2017,0
LLIT,2010,1
MOMO,2014,1
MOXC,2014,1
NTES,2000,1
NEWA,2017,0
NFEC,2006,0
SEED,2004,1
OSN,2010,0
PME,2011,1
RCON,2009,1
ABAC,2010,0
RETO,2017,1
REDU,2017,1
SECO,2017,0
AIHS,2018,1
SGOC,2010,1
SEII,2008,1
TYHT,2016,0
SINA,2000,1
SVA,2003,0
SOHU,2000,0
SORL,2005,0
SPI,2016,1
SSLJ,2018,1
TANH,2015,0
TEDU,2014,1
PETZ,2017,0
NCTY,2004,1
TMSR,2015,0
TOUR,2014,1
UTSI,2000,0
WB,2014,1
WINS,2014,0
XNET,2014,1
YIN,2016,1
YECO,2017,1
YY,2012,1
ZLAB,2017,0
ZKIN,2017,1